Rank,Title,Rating,Year
469,Amatér,84.4,1979
470,Někdo tam nahoře mě má rád,84.5,1956
471,Maurice Richard,84.5,2005
472,Šumař na střeše,84.6,1971
473,Présumé coupable,84.6,2011
474,The Stoning of Soraya M.,84.5,2008
475,Život je úžasný,84.7,2013
476,Poslední štace,84.8,1924
477,Žhavé výstřely,83.8,1991
478,Mechanický pomeranč,83.8,1971
479,Goldfinger,83.7,1964
480,Zkažená mládež,83.7,2007
481,"Batman: Návrat Temného rytíře, část 2.",83.9,2013
482,Rašómon,83.9,1950
483,Staré pověsti české,84.2,1952
484,Rvačka mezi muži,84.5,1955
485,Poznamenaní,84.8,1948
486,Chlapec v pruhovaném pyžamu,83.6,2008
487,Thelma a Louise,83.6,1991
488,Dokonalý svět,83.6,1993
489,Annie Hallová,83.7,1977
490,Vůně ženy,83.7,1992
491,Brubaker,83.8,1980
492,Doručovací služba čarodějky Kiki,83.8,1989
493,Lesní jahody,83.9,1957
494,Vlčí děti,84.0,2012
495,Plynové lampy,84.1,1944
496,Laurel a Hardy,84.3,1965
497,Pan Smith přichází,84.3,1939
498,Eso v rukávu,84.4,1951
499,Vojna a mír III: Rok 1812,84.8,1967
500,Aurore,85.3,2005
501,Smrtonosná past 2,83.5,1990
502,Walk the Line,83.6,2005
503,Hledání Země Nezemě,83.5,2004
504,Amores perros - Láska je kurva,83.5,2000
505,Mrtvý muž,83.6,1995
506,Misery nechce zemřít,83.5,1990
507,Petrolejové lampy,83.6,1971
508,Sedím na konári a je mi dobre,83.6,1989
509,Control,83.7,2007
510,S láskou Vincent,83.6,2017
511,Jeremiah Johnson,83.7,1972
512,Jako zabít ptáčka,83.7,1962
513,Metro Manila,83.8,2013
514,Silnice,83.8,1954
515,Mzda strachu,83.8,1953
516,Džúbei a umění nindžucu,83.9,1993
517,Kdo to tam zpívá,84.3,1980
518,Vlk z Wall Street,83.4,2013
519,Hacksaw Ridge: Zrození hrdiny,83.5,2016
520,Návrat do Cold Mountain,83.4,2003
521,"Černá kočka, bílý kocour",83.5,1998
522,Pro hrst dolarů,83.5,1964
523,Ghost in the Shell,83.5,1995
524,Jesus Christ Superstar,83.5,1973
525,Volání divočiny,83.7,1966
526,Ghost in the Shell 2.0,83.8,2008
527,Mother and Child,83.8,2009
528,Boxer a smrť,83.9,1962
529,Berserk: Ógon džidai hen II – Doldrey kórjaku,84.0,2012
530,Kinoautomat: Člověk a jeho dům,84.2,1967
531,Díra,84.4,1960
532,Obchod za rohem,84.5,1940
533,Jsem uprchlý galejník,86.0,1932
534,Georges Bizet: Carmen,87.2,1984
535,Big Lebowski,83.3,1998
536,Ti druzí,83.4,2001
537,Šíleně smutná princezna,83.3,1968
538,Moulin Rouge,83.4,2001
539,Základní instinkt,83.3,1992
540,Dálnice 60,83.3,2002
541,Opustit Las Vegas,83.4,1995
542,Stalker,83.4,1979
543,Růžový panter znovu zasahuje,83.4,1976
544,Dotek Medúzy,83.5,1978
545,Hotel Mumbai,83.5,2018
546,Arrietty ze světa půjčovníčků,83.5,2010
547,Něco z Alenky,83.6,1988
548,Návrat,83.6,2003
549,Smrtící bumerang,83.6,1996
550,Kaktusový květ,83.7,1969
551,Na Zlatém jezeře,83.7,1981
552,Mastičkář,83.8,1981
553,Žít,83.9,1952
554,Vozka smrti,83.9,1921
555,Zavěste červené lucerny,84.0,1991
556,Člověk z mramoru,84.1,1977
557,Vojna a mír IV: Pierre Bezuchov,84.5,1967
558,Být či nebýt,84.7,1942
559,Huo zhe,84.7,1994
560,Jak utopit Dr. Mráčka aneb Konec vodníků v Čechách,83.2,1974
561,Vinnetou - Poslední výstřel,83.2,1965
562,Černý Petr,83.3,1963
563,Vše o mé matce,83.3,1999
564,Jih proti Severu,83.4,1939
565,Adelheid,83.4,1969
566,Americká noc,83.5,1973
567,"Raz, dva, tři",83.7,1961
568,Pramen panny,83.7,1960
569,Stalag 17,83.8,1953
570,Chladnokrevně,84.0,1967
571,Jagna,84.1,2023
572,Barva ráje,84.3,1999
573,Pátá pečeť,85.8,1976
574,Korunní svědek,87.0,1959
575,Na nože,83.1,2019
576,Pokání,83.2,2007
577,"Muži, kteří nenávidí ženy",83.1,2009
578,Válka Roseových,83.2,1989
579,Magnolia,83.1,1999
580,Nejvyšší nabídka,83.1,2013
581,Přichází Satan!,83.2,1976
582,Hana a její sestry,83.3,1986
583,Na východ od ráje,83.4,1955
584,Tři zločinci ve skryté pevnosti,83.6,1958
585,Mefisto,83.6,1981
586,Červené střevíčky,84.1,1948
587,Zapomenutí,84.4,1950
588,Bouřlivá dvacátá léta,84.8,1939
589,La traviata,88.5,1982
590,Harry Potter a Relikvie smrti - část 2,83.0,2011
591,Shrek 2,83.0,2004
592,Marťan,83.0,2015
593,Saw: Hra o přežití,83.0,2004
594,E.T. - Mimozemšťan,83.0,1982
595,Fantomas se zlobí,83.0,1965
596,Magická hlubina,83.1,1988
597,(Ne)obyčejný kluk,83.1,2017
598,Rytíři spravedlnosti,83.1,2020
599,Vampire Hunter D,83.1,2000
